team_name_full,logo
Atlanta Hawks,https://a.espncdn.com/i/teamlogos/nba/500/atl.png
Boston Celtics,https://a.espncdn.com/i/teamlogos/nba/500/bos.png
Brooklyn Nets,https://a.espncdn.com/i/teamlogos/nba/500/bkn.png
Charlotte Hornets,https://a.espncdn.com/i/teamlogos/nba/500/cha.png
Chicago Bulls,https://a.espncdn.com/i/teamlogos/nba/500/chi.png
Cleveland Cavaliers,https://a.espncdn.com/i/teamlogos/nba/500/cle.png
Dallas Mavericks,https://a.espncdn.com/i/teamlogos/nba/500/dal.png
Denver Nuggets,https://a.espncdn.com/i/teamlogos/nba/500/den.png
Detroit Pistons,https://a.espncdn.com/i/teamlogos/nba/500/det.png
Golden State Warriors,https://a.espncdn.com/i/teamlogos/nba/500/gs.png
Houston Rockets,https://a.espncdn.com/i/teamlogos/nba/500/hou.png
Indiana Pacers,https://a.espncdn.com/i/teamlogos/nba/500/ind.png
LA Clippers,https://a.espncdn.com/i/teamlogos/nba/500/lac.png
Los Angeles Lakers,https://a.espncdn.com/i/teamlogos/nba/500/lal.png
Memphis Grizzlies,https://a.espncdn.com/i/teamlogos/nba/500/mem.png
Miami Heat,https://a.espncdn.com/i/teamlogos/nba/500/mia.png
Milwaukee Bucks,https://a.espncdn.com/i/teamlogos/nba/500/mil.png
Minnesota Timberwolves,https://a.espncdn.com/i/teamlogos/nba/500/min.png
New Orleans Pelicans,https://a.espncdn.com/i/teamlogos/nba/500/no.png
New York Knicks,https://a.espncdn.com/i/teamlogos/nba/500/ny.png
Oklahoma City Thunder,https://a.espncdn.com/i/teamlogos/nba/500/okc.png
Orlando Magic,https://a.espncdn.com/i/teamlogos/nba/500/orl.png
Philadelphia 76ers,https://a.espncdn.com/i/teamlogos/nba/500/phi.png
Phoenix Suns,https://a.espncdn.com/i/teamlogos/nba/500/phx.png
Portland Trail Blazers,https://a.espncdn.com/i/teamlogos/nba/500/por.png
Sacramento Kings,https://a.espncdn.com/i/teamlogos/nba/500/sac.png
San Antonio Spurs,https://a.espncdn.com/i/teamlogos/nba/500/sa.png
Toronto Raptors,https://a.espncdn.com/i/teamlogos/nba/500/tor.png
Utah Jazz,https://a.espncdn.com/i/teamlogos/nba/500/utah.png
Washington Wizards,https://a.espncdn.com/i/teamlogos/nba/500/wsh.png
